Department,Physician name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Cardiology,Thomas Bashore,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00
Cardiology,Piers Barker,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00
Cardiology,Melissa Daubert,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00
Neurology,Timothy Collins,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00
Neurology,Jodi Dodds,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00
Neurology,Karissa Gable,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00
Pediatrics,Carolyn Avery,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00
Pediatrics,Jeffrey Baker,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00
Pediatrics,Aimee Chung,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00
Family Medicine,Randy Adams,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00
Family Medicine,Krishan Angrish,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00
Family Medicine,Mary Blessing,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00
Opthalmology,Shravan Mohan,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00,9:00-11:00
Opthalmology,Bharath Bhikkaji,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00,13:00-15:00
Opthalmology,Arun Ayyar,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00,16:00-18:00
